rank	taxid	name	clade_reads	direct_reads	percent
S	1117645	Elizabethkingia anophelis	2	2	0.00
G	3088764	Marnyiella	16	0	0.01
S	2758037	Marnyiella aurantia	16	16	0.01
F	49546	Flavobacteriaceae	2075	1	0.91
G	237	Flavobacterium	2059	0	0.90
S	312277	Flavobacterium indicum	897	0	0.39
S1	1094466	Flavobacterium indicum GPTSA100-9 = DSM 17447	897	897	0.39
S	1492737	Flavobacterium gilvum	346	346	0.15
S	1751056	Flavobacterium ammonificans	332	332	0.15
S	2895947	Flavobacterium cyclinae	194	194	0.08
S	1306519	Flavobacterium commune	154	154	0.07
S	2897181	Flavobacterium channae	51	51	0.02
S	2906076	Flavobacterium covae	46	46	0.02
S	1355330	Flavobacterium faecale	35	35	0.02
S	2162713	Flavobacterium magnum	2	2	0.00
S	1310418	Flavobacterium gyeonganense	1	1	0.00
S	683124	Flavobacterium haoranii	1	1	0.00
G	286104	Winogradskyella	4	0	0.00
S	1382466	Winogradskyella sediminis	4	4	0.00
G	153265	Aequorivita	4	0	0.00
G1	2615031	unclassified Aequorivita	4	0	0.00
S	3040348	Aequorivita sp. Ant34-E75	4	4	0.00
G	363408	Nonlabens	3	1	0.00
S	323273	Nonlabens tegetincola	1	1	0.00
G1	2615035	unclassified Nonlabens	1	0	0.00
S	2058134	Nonlabens sp. MB-3u-79	1	1	0.00
G	1386924	Aestuariibaculum	2	0	0.00
S	2920935	Aestuariibaculum lutulentum	2	2	0.00
G	444459	Flagellimonas	1	0	0.00
S	2698672	Flagellimonas oceani	1	1	0.00
G	112040	Zobellia	1	0	0.00
S	63186	Zobellia galactanivorans	1	1	0.00
C	200643	Bacteroidia	1453	0	0.63
O	171549	Bacteroidales	1422	4	0.62
F	815	Bacteroidaceae	583	0	0.25
G	816	Bacteroides	507	1	0.22
S	2650157	Bacteroides zhangwenhongii	339	339	0.15
S	329854	Bacteroides intestinalis	51	51	0.02
S	246787	Bacteroides cellulosilyticus	50	50	0.02
G1	139043	environmental samples	23	0	0.01
S	162156	uncultured Bacteroides sp.	23	23	0.01
G1	2646097	unclassified Bacteroides	20	0	0.01
S	556259	Bacteroides sp. D2	8	8	0.00
S	3117552	Bacteroides sp. MSB163	8	8	0.00
S	2763022	Bacteroides sp. M10	4	4	0.00
S	338188	Bacteroides finegoldii	17	17	0.01
S	28111	Bacteroides eggerthii	4	4	0.00
S	2715212	Bacteroides faecium	1	1	0.00
S	46506	Bacteroides stercoris	1	1	0.00
G	909656	Phocaeicola	76	2	0.03
S	376805	Phocaeicola salanitronis	73	0	0.03
S1	667015	Phocaeicola salanitronis DSM 18170	73	73	0.03
S	357276	Phocaeicola dorei	1	1	0.00
F	171550	Rikenellaceae	495	0	0.22
G	239759	Alistipes	495	0	0.22
S	2585118	Alistipes communis	494	494	0.22
S	2585119	Alistipes dispar	1	1	0.00
F	2005519	Barnesiellaceae	209	0	0.09
G	397864	Barnesiella	150	0	0.07
S	397865	Barnesiella viscericola	149	0	0.07
S1	880074	Barnesiella viscericola DSM 18177	149	149	0.07
G1	2645177	unclassified Barnesiella	1	0	0.00
S	1965590	Barnesiella sp. An22	1	1	0.00
G	1348911	Coprobacter	59	0	0.03
S	1099853	Coprobacter fastidiosus	57	57	0.02
S	1501392	Coprobacter secundus	2	0	0.00
S1	2751153	Coprobacter secundus subsp. similis	2	2	0.00
F	1853231	Odoribacteraceae	85	0	0.04
G	574697	Butyricimonas	85	0	0.04
S	2093856	Butyricimonas faecalis	85	85	0.04
F	171552	Prevotellaceae	32	0	0.01
G	838	Prevotella	32	0	0.01
S	470565	Prevotella histicola	32	32	0.01
F	2005525	Tannerellaceae	13	0	0.01
G	375288	Parabacteroides	13	1	0.01
S	387661	Parabacteroides johnsonii	8	8	0.00
S	823	Parabacteroides distasonis	1	1	0.00
S	46503	Parabacteroides merdae	1	1	0.00
S	1217282	Parabacteroides faecis	1	1	0.00
G1	2649774	unclassified Parabacteroides	1	0	0.00
S	2951805	Parabacteroides sp. AD58	1	1	0.00
F	2005473	Muribaculaceae	1	0	0.00
G	2518495	Duncaniella	1	0	0.00
S	2518971	Duncaniella dubosii	1	1	0.00
O	1970189	Marinilabiliales	31	0	0.01
F	1471398	Prolixibacteraceae	30	0	0.01
G	1471399	Draconibacterium	30	0	0.01
S	1168034	Draconibacterium orientale	30	30	0.01
F	1573805	Marinifilaceae	1	0	0.00
G	2060722	Labilibaculum	1	0	0.00
S	1940525	Labilibaculum manganireducens	1	1	0.00
C	117747	Sphingobacteriia	1312	0	0.57
O	200666	Sphingobacteriales	1312	0	0.57
F	84566	Sphingobacteriaceae	1312	0	0.57
G	28453	Sphingobacterium	1270	0	0.55
S	797291	Sphingobacterium lactis	1258	1258	0.55
S	28454	Sphingobacterium multivorum	12	12	0.01
G	423349	Mucilaginibacter	21	0	0.01
S	551996	Mucilaginibacter gossypii	12	12	0.01
G1	2617802	unclassified Mucilaginibacter	6	0	0.00
S	3029053	Mucilaginibacter sp. SJ	6	6	0.00
S	398049	Mucilaginibacter daejeonensis	2	2	0.00
S	2027860	Mucilaginibacter rubeus	1	1	0.00
G	1649482	Pseudopedobacter	21	0	0.01
S	151895	Pseudopedobacter saltans	21	0	0.01
S1	762903	Pseudopedobacter saltans DSM 12145	21	21	0.01
C	768503	Cytophagia	598	0	0.26
O	768507	Cytophagales	598	0	0.26
F	563798	Cyclobacteriaceae	358	0	0.16
G	1511649	Mongoliitalea	356	0	0.16
S	2782006	Mongoliitalea daihaiensis	356	356	0.16
G	390846	Echinicola	2	0	0.00
S	1795355	Echinicola strongylocentroti	2	2	0.00
F	2896860	Spirosomataceae	224	0	0.10
G	105	Runella	224	0	0.10
S	2259595	Runella rosea	224	224	0.10
F	200667	Flammeovirgaceae	12	0	0.01
G	59739	Flammeovirga	12	0	0.01
S	2494373	Flammeovirga pectinis	12	12	0.01
F	3141702	Leadbetterellaceae	2	0	0.00
G	319458	Leadbetterella	2	0	0.00
S	316068	Leadbetterella byssophila	2	0	0.00
S1	649349	Leadbetterella byssophila DSM 17132	2	2	0.00
F	1522127	Catalimonadaceae	1	0	0.00
G	1001222	Porifericola	1	0	0.00
S	930972	Porifericola rhodea	1	1	0.00
F	2762286	Fulvivirgaceae	1	0	0.00
G	396811	Fulvivirga	1	0	0.00
S	2904246	Fulvivirga ligni	1	1	0.00
C	1853228	Chitinophagia	7	0	0.00
O	1853229	Chitinophagales	7	0	0.00
F	563835	Chitinophagaceae	7	0	0.00
G	2836216	Phnomibacter	6	0	0.00
S	2676868	Phnomibacter ginsenosidimutans	6	6	0.00
G	398041	Flavisolibacter	1	0	0.00
S	661481	Flavisolibacter ginsenosidimutans	1	1	0.00
P	1090	Chlorobiota	2271	0	0.99
C	191410	Chlorobiia	2271	0	0.99
O	191411	Chlorobiales	2271	0	0.99
F	191412	Chlorobiaceae	2271	0	0.99
G	256319	Chlorobaculum	2271	0	0.99
S	1097	Chlorobaculum tepidum	2271	0	0.99
S1	194439	Chlorobaculum tepidum TLS	2271	2271	0.99
P	142182	Gemmatimonadota	128	0	0.06
C	219685	Gemmatimonadia	128	0	0.06
O	219686	Gemmatimonadales	128	0	0.06
F	219687	Gemmatimonadaceae	128	0	0.06
G	173479	Gemmatimonas	128	0	0.06
S	173480	Gemmatimonas aurantiaca	128	0	0.06
S1	379066	Gemmatimonas aurantiaca T-27	128	128	0.06
P	200940	Thermodesulfobacteriota	2689	0	1.17
C	3031449	Desulfovibrionia	818	0	0.36
O	213115	Desulfovibrionales	818	0	0.36
F	194924	Desulfovibrionaceae	818	20	0.36
G	2035811	Pseudodesulfovibrio	699	0	0.31
S	57320	Pseudodesulfovibrio profundus	697	697	0.30
S	182210	Pseudodesulfovibrio aespoeensis	1	0	0.00
S1	643562	Pseudodesulfovibrio aespoeensis Aspo-2	1	1	0.00
G1	2035857	environmental samples	1	0	0.00
S	2035858	uncultured Pseudodesulfovibrio sp.	1	1	0.00
G	872	Desulfovibrio	71	1	0.03
S	44742	Desulfovibrio fairfieldensis	46	46	0.02
S	876	Desulfovibrio desulfuricans	20	20	0.01
G1	2593640	unclassified Desulfovibrio	3	0	0.00
S	631220	Desulfovibrio sp. G11	3	3	0.00
S	901	Desulfovibrio piger	1	1	0.00
G	2773294	Desulfolutivibrio	22	0	0.01
S	63561	Desulfolutivibrio sulfodismutans	22	0	0.01
S1	1121464	Desulfolutivibrio sulfodismutans DSM 3696	22	22	0.01
G	2910984	Solidesulfovibrio	4	0	0.00
S	296842	Solidesulfovibrio carbinolicus	4	4	0.00
G	2802295	Nitratidesulfovibrio	1	0	0.00
S	2604158	Nitratidesulfovibrio liaohensis	1	1	0.00
G	2909705	Oleidesulfovibrio	1	0	0.00
S	58180	Oleidesulfovibrio alaskensis	1	0	0.00
S1	207559	Oleidesulfovibrio alaskensis G20	1	1	0.00
C	3031651	Desulfuromonadia	698	0	0.30
O	3031668	Geobacterales	644	0	0.28
F	213422	Geobacteraceae	644	0	0.28
G	28231	Geobacter	331	0	0.14
S	35554	Geobacter sulfurreducens	313	297	0.14
S1	1260928	Geobacter sulfurreducens subsp. ethanolicus	9	9	0.00
S1	663917	Geobacter sulfurreducens KN400	7	7	0.00
S	2815309	Geobacter benzoatilyticus	18	18	0.01
G	2651583	Geomonas	298	0	0.13
S	2740185	Geomonas paludis	291	291	0.13
S	2847991	Geomonas nitrogeniifigens	7	7	0.00
G	2883512	Citrifermentans	15	0	0.01
S	225194	Citrifermentans bemidjiense	15	0	0.01
S1	404380	Citrifermentans bemidjiense Bem	15	15	0.01
O	69541	Desulfuromonadales	54	0	0.02
F	3031665	Geoalkalibacteraceae	50	0	0.02
G	392332	Geoalkalibacter	50	0	0.02
S	483547	Geoalkalibacter subterraneus	31	31	0.01
S	2847045	Geoalkalibacter halelectricus	19	19	0.01
F	213421	Desulfuromonadaceae	3	0	0.00
G	890	Desulfuromonas	2	0	0.00
S	1603606	Desulfuromonas soudanensis	1	1	0.00
S	2802975	Desulfuromonas versatilis	1	1	0.00
G	18	Pelobacter	1	0	0.00
S	29543	Pelobacter propionicus	1	0	0.00
S1	338966	Pelobacter propionicus DSM 2379	1	1	0.00
F	2812024	Syntrophotaleaceae	1	0	0.00
G	2812025	Syntrophotalea	1	0	0.00
S	19	Syntrophotalea carbinolica	1	0	0.00
S1	338963	Syntrophotalea carbinolica DSM 2380	1	1	0.00
C	3031451	Desulfobulbia	503	0	0.22
O	3024411	Desulfobulbales	503	0	0.22
F	213121	Desulfobulbaceae	503	0	0.22
G	893	Desulfobulbus	502	0	0.22
S	894	Desulfobulbus propionicus	502	0	0.22
S1	577650	Desulfobulbus propionicus DSM 2032	502	502	0.22
G	427922	Desulfurivibrio	1	0	0.00
S	427923	Desulfurivibrio alkaliphilus	1	0	0.00
S1	589865	Desulfurivibrio alkaliphilus AHT 2	1	1	0.00
C	3024408	Syntrophobacteria	336	0	0.15
O	213462	Syntrophobacterales	336	0	0.15
F	213465	Syntrophobacteraceae	336	0	0.15
G	361106	Desulfoglaeba	230	0	0.10
S	361111	Desulfoglaeba alkanexedens	230	0	0.10
S1	980445	Desulfoglaeba alkanexedens ALDC	230	230	0.10
G	29526	Syntrophobacter	106	0	0.05
S	119484	Syntrophobacter fumaroxidans	106	0	0.05
S1	335543	Syntrophobacter fumaroxidans MPOB	106	106	0.05
C	3024418	Desulfobacteria	332	0	0.15
O	213118	Desulfobacterales	332	0	0.15
F	3031624	Desulfosarcinaceae	330	0	0.14
G	2299	Desulfosarcina	330	0	0.14
S	947919	Desulfosarcina widdelii	330	330	0.14
F	213119	Desulfobacteraceae	1	0	0.00
G	2289	Desulfobacter	1	0	0.00
G1	240138	environmental samples	1	0	0.00
S	240139	uncultured Desulfobacter sp.	1	1	0.00
F	3031627	Desulfatibacillaceae	1	0	0.00
G	218207	Desulfatibacillum	1	0	0.00
S	218208	Desulfatibacillum aliphaticivorans	1	1	0.00
C	3031450	Candidatus Desulfofervidia	1	0	0.00
O	3031460	Candidatus Desulfofervidales	1	0	0.00
F	1902584	Candidatus Desulfofervidaceae	1	0	0.00
G	1902583	Candidatus Desulfofervidus	1	0	0.00
S	1621989	Candidatus Desulfofervidus auxilii	1	1	0.00
C	3031648	Syntrophia	1	0	0.00
O	2914038	Syntrophales	1	0	0.00
F	213468	Syntrophaceae	1	0	0.00
G	43773	Syntrophus	1	0	0.00
S	316277	Syntrophus aciditrophicus	1	0	0.00
S1	56780	Syntrophus aciditrophicus SB	1	1	0.00
P	29547	Campylobacterota	1898	0	0.83
C	3031852	Epsilonproteobacteria	1898	0	0.83
O	213849	Campylobacterales	1898	0	0.83
F	2808963	Arcobacteraceae	1886	18	0.82
G	28196	Arcobacter	1046	2	0.46
S	1849015	Arcobacter acticola	830	830	0.36
S	1278212	Arcobacter suis	137	0	0.06
S1	663365	Arcobacter suis CECT 7833	137	137	0.06
S	2320140	Arcobacter peruensis	70	70	0.03
S	1054033	Arcobacter venerupis	3	3	0.00
S	1935204	Arcobacter porcinus	3	3	0.00
G1	2593671	unclassified Arcobacter	1	0	0.00
S	2593672	Arcobacter sp. FWKO B	1	1	0.00
G	2321187	Poseidonibacter	653	0	0.29
S	1850254	Poseidonibacter parvus	651	651	0.28
S	1904463	Poseidonibacter lekithochrous	2	2	0.00
G	2321111	Aliarcobacter	162	0	0.07
S	255507	Aliarcobacter cibarius	140	140	0.06
S	28197	Aliarcobacter butzleri	21	2	0.01
S1	888827	Aliarcobacter butzleri JV22	9	9	0.00
S1	1036172	Aliarcobacter butzleri 7h1h	8	8	0.00
S1	944546	Aliarcobacter butzleri ED-1	2	2	0.00
S	28198	Aliarcobacter cryaerophilus	1	1	0.00
G	2321114	Malaciobacter	5	0	0.00
S	1080223	Malaciobacter pacificus	3	3	0.00
S	603050	Malaciobacter mytili	1	0	0.00
S1	1032238	Malaciobacter mytili LMG 24559	1	1	0.00
S	1032072	Malaciobacter molluscorum	1	0	0.00
S1	870501	Malaciobacter molluscorum LMG 25693	1	1	0.00
G	2321115	Halarcobacter	2	0	0.00
G1	2622948	unclassified Halarcobacter	2	0	0.00
S	2321133	Halarcobacter sp.	2	2	0.00
F	72294	Campylobacteraceae	8	0	0.00
G	194	Campylobacter	8	0	0.00
S	201	Campylobacter lari	6	6	0.00
S	195	Campylobacter coli	1	1	0.00
S	1031542	Campylobacter volucris	1	1	0.00
F	72293	Helicobacteraceae	2	0	0.00
G	209	Helicobacter	2	0	0.00
S	157268	Helicobacter winghamensis	2	2	0.00
F	2932623	Sulfurospirillaceae	2	0	0.00
G	57665	Sulfurospirillum	2	0	0.00
S	66821	Sulfurospirillum multivorans	2	2	0.00
D1	1783257	PVC group	1840	0	0.80
P	203682	Planctomycetota	1767	0	0.77
C	203683	Planctomycetia	1767	0	0.77
O	112	Planctomycetales	969	0	0.42
F	126	Planctomycetaceae	969	0	0.42
G	2795778	Caulifigura	969	0	0.42
S	2527983	Caulifigura coniformis	969	969	0.42
O	2691356	Isosphaerales	653	0	0.29
F	1763524	Isosphaeraceae	653	0	0.29
G	1511635	Aquisphaera	599	0	0.26
S	406548	Aquisphaera giovannonii	599	599	0.26
G	1763521	Paludisphaera	54	0	0.02
S	1387353	Paludisphaera borealis	54	54	0.02
O	2691355	Gemmatales	139	0	0.06
F	1914233	Gemmataceae	139	0	0.06
G	2731450	Limnoglobus	137	0	0.06
S	2598579	Limnoglobus roseus	137	137	0.06
G	2807415	Urbifossiella	2	0	0.00
S	2528023	Urbifossiella limnaea	2	2	0.00
O	2691354	Pirellulales	6	0	0.00
F	2691359	Lacipirellulaceae	5	0	0.00
G	2795783	Pirellulimonas	5	0	0.00
S	2528009	Pirellulimonas nuda	5	5	0.00
F	2691357	Pirellulaceae	1	0	0.00
G	2795973	Stieleria	1	0	0.00
S	2527979	Stieleria neptunia	1	1	0.00
P	74201	Verrucomicrobiota	73	0	0.03
C	203494	Verrucomicrobiia	72	0	0.03
O	48461	Verrucomicrobiales	72	0	0.03
F	203557	Verrucomicrobiaceae	72	0	0.03
G	518753	Luteolibacter	72	0	0.03
S	2824561	Luteolibacter ambystomatis	72	72	0.03
C	414999	Opitutia	1	0	0.00
O	415000	Opitutales	1	0	0.00
F	134623	Opitutaceae	1	0	0.00
G	178440	Opitutus	1	0	0.00
S	107709	Opitutus terrae	1	0	0.00
S1	452637	Opitutus terrae PB90-1	1	1	0.00
P	2818505	Myxococcota	662	0	0.29
P1	3031711	Polyangia	373	0	0.16
O	3031712	Polyangiales	323	0	0.14
F	49	Polyangiaceae	323	0	0.14
G	50	Chondromyces	323	0	0.14
S	52	Chondromyces crocatus	323	323	0.14
O	3031714	Haliangiales	50	0	0.02
F	224464	Kofleriaceae	50	0	0.02
G	162027	Haliangium	50	0	0.02
S	80816	Haliangium ochraceum	50	0	0.02
S1	502025	Haliangium ochraceum DSM 14365	50	50	0.02
C	32015	Myxococcia	289	0	0.13
O	29	Myxococcales	289	0	0.13
O1	80811	Cystobacterineae	289	0	0.13
F	1524215	Anaeromyxobacteraceae	218	0	0.10
G	161492	Anaeromyxobacter	218	0	0.10
S	161493	Anaeromyxobacter dehalogenans	218	0	0.10
S1	290397	Anaeromyxobacter dehalogenans 2CP-C	218	218	0.10
F	39	Archangiaceae	37	0	0.02
G	42	Cystobacter	35	0	0.02
S	43	Cystobacter fuscus	35	35	0.02
G	44	Melittangium	1	0	0.00
S	83453	Melittangium boletus	1	0	0.00
S1	1294270	Melittangium boletus DSM 14713	1	1	0.00
G	47	Archangium	1	0	0.00
S	83451	Archangium violaceum	1	1	0.00
F	31	Myxococcaceae	34	0	0.01
G	32	Myxococcus	34	0	0.01
S	1297742	Myxococcus hansupus	33	33	0.01
S	34	Myxococcus xanthus	1	1	0.00
P	32066	Fusobacteriota	186	0	0.08
C	203490	Fusobacteriia	186	0	0.08
O	203491	Fusobacteriales	186	0	0.08
F	203492	Fusobacteriaceae	186	0	0.08
G	848	Fusobacterium	180	0	0.08
S	2663009	Fusobacterium pseudoperiodonticum	179	179	0.08
S	76859	Fusobacterium animalis	1	1	0.00
G	180162	Cetobacterium	6	0	0.00
S	188913	Cetobacterium somerae	6	6	0.00
P	3018035	Bdellovibrionota	37	0	0.02
C	3031418	Bdellovibrionia	37	0	0.02
O	213481	Bdellovibrionales	37	0	0.02
F	213483	Pseudobdellovibrionaceae	37	0	0.02
G	2862745	Pseudobdellovibrio	37	0	0.02
S	453816	Pseudobdellovibrio exovorus	37	0	0.02
S1	1184267	Pseudobdellovibrio exovorus JSS	37	37	0.02
P	203691	Spirochaetota	16	0	0.01
C	203692	Spirochaetia	16	0	0.01
O	136	Spirochaetales	16	0	0.01
F	2845253	Treponemataceae	14	0	0.01
G	157	Treponema	14	0	0.01
S	2787628	Treponema peruense	13	13	0.01
S	158	Treponema denticola	1	1	0.00
F	1643685	Borreliaceae	2	0	0.00
G	64895	Borreliella	2	0	0.00
S	683292	Borreliella yangtzensis	2	2	0.00
P	57723	Acidobacteriota	5	0	0.00
C	204432	Terriglobia	5	0	0.00
O	204433	Terriglobales	5	0	0.00
F	204434	Acidobacteriaceae	5	0	0.00
G	940557	Granulicella	5	0	0.00
G1	2621151	unclassified Granulicella	5	0	0.00
S	2602070	Granulicella sp. WH15	5	5	0.00
D	2759	Eukaryota	28	0	0.01
D1	33154	Opisthokonta	28	0	0.01
K	33208	Metazoa	28	0	0.01
K1	6072	Eumetazoa	28	0	0.01
K2	33213	Bilateria	28	0	0.01
K3	33511	Deuterostomia	28	0	0.01
P	7711	Chordata	28	0	0.01
P1	89593	Craniata	28	0	0.01
P2	7742	Vertebrata	28	0	0.01
P3	7776	Gnathostomata	28	0	0.01
P4	117570	Teleostomi	28	0	0.01
P5	117571	Euteleostomi	28	0	0.01
P6	8287	Sarcopterygii	28	0	0.01
P7	1338369	Dipnotetrapodomorpha	28	0	0.01
P8	32523	Tetrapoda	28	0	0.01
P9	32524	Amniota	28	0	0.01
C	40674	Mammalia	28	0	0.01
C1	32525	Theria	28	0	0.01
C2	9347	Eutheria	28	0	0.01
C3	1437010	Boreoeutheria	28	0	0.01
C4	314146	Euarchontoglires	28	0	0.01
O	9443	Primates	28	0	0.01
O1	376913	Haplorrhini	28	0	0.01
O2	314293	Simiiformes	28	0	0.01
O3	9526	Catarrhini	28	0	0.01
O4	314295	Hominoidea	28	0	0.01
F	9604	Hominidae	28	0	0.01
F1	207598	Homininae	28	0	0.01
G	9605	Homo	28	0	0.01
S	9606	Homo sapiens	28	28	0.01
D	2157	Archaea	18	0	0.01
P	28890	Euryarchaeota	16	0	0.01
P1	2290931	Stenosarchaea group	16	0	0.01
C	183963	Halobacteria	16	0	0.01
O	2235	Halobacteriales	16	0	0.01
F	3064797	Haladaptataceae	12	0	0.01
G	367188	Haladaptatus	12	9	0.01
S	1008152	Haladaptatus pallidirubidus	3	3	0.00
F	1963268	Haloarculaceae	4	0	0.00
G	3056835	Halorarius	2	0	0.00
S	2962676	Halorarius litoreus	2	2	0.00
G	171163	Halosimplex	1	0	0.00
S	3026162	Halosimplex aquaticum	1	1	0.00
G	203135	Halomicrobium	1	0	0.00
G1	2610901	unclassified Halomicrobium	1	0	0.00
S	2610902	Halomicrobium sp. LC1Hm	1	1	0.00
D1	1783275	TACK group	2	0	0.00
P	28889	Thermoproteota	2	0	0.00
C	183924	Thermoprotei	2	0	0.00
O	2281	Sulfolobales	2	0	0.00
F	118883	Sulfolobaceae	2	2	0.00
